Declaration_Number,Import_Date,Importer_ID,Broker_ID,Transport_Mode,Origin_Country,Port_of_Entry,Clearance_Port,Invoice_No,Invoice_Details,Item_Number,HS_Code,Stat_Code,Product_Code,Brand,Model_No,Product_Year,Cleaned_Description,Quantity,Net_Weight_KG,Gross_Weight_KG,Declared_Currency_Code,Unit_Price_Foreign_CIF,Invoice_Amount_Foreign,Exchange_Rate,Unit_Price_THB_CIF,Invoice_Amount_THB,Privilege_Code,Incentive_Scheme,Duty_Paid_THB,VAT_Paid_THB,Other_Taxes_THB,External_Benchmark_Price_THB,Is_Related_Party,Is_Anomaly_Confirmed,PRAISE_Alert_Ref_No,Recovered_Tax_THB,Review_Officer_ID,Review_Timestamp
DEC25112744832,2025-11-27,IMP-003,BROK-008,Air,DE,LCP,BKK,INV-13842,Standard Import,1,33030000,0,PROD-709,BrandX,M-85,2024,Perfumes,75.0,472.35,541.42,USD,3235.91,242693.25,32.88,106396.72,7979754.06,0,,2393926.22,726157.62,0.0,105400.0,1,False,REF-65719,0.0,OFFICER-19,2024-12-06
DEC25041940889,2025-04-19,IMP-003,BROK-025,Air,US,SUV,SUV,INV-36891,Standard Import,1,33030000,0,PROD-777,BrandX,M-74,2021,Perfumes,67.0,651.18,696.09,USD,3120.73,209088.91,32.88,102609.6,6874843.36,999,,2062453.01,625610.75,0.0,105400.0,1,False,REF-33428,0.0,OFFICER-25,2024-12-24
DEC24021633010,2024-02-16,IMP-003,BROK-013,Sea,US,BKK,BKK,INV-28197,Standard Import,1,33030000,0,PROD-890,BrandX,M-71,2025,Perfumes,13.0,25.3,29.6,USD,1973.1,25650.3,31.98,63099.74,820296.59,0,,246088.98,74646.99,0.0,105400.0,1,False,REF-45500,0.0,OFFICER-49,2024-12-30
DEC23052548823,2023-05-25,IMP-005,BROK-018,Air,CN,SUV,LCP,INV-10420,Standard Import,1,62044290,0,PROD-829,BrandX,M-94,2024,Women Dresses,53.0,303.54,343.15,USD,1373.3,72784.9,35.07,48161.63,2552566.44,999,,765769.93,232283.55,0.0,44200.0,0,False,REF-55894,0.0,OFFICER-13,2024-12-24
DEC25070488891,2025-07-04,IMP-006,BROK-009,Sea,JP,BKK,LCP,INV-61576,Standard Import,1,64039990,0,PROD-543,BrandX,M-52,2024,Footwear,21.0,192.38,220.07,USD,844.13,17726.73,32.88,27754.99,582854.88,0,,174856.46,53039.79,0.0,28050.0,0,False,REF-62820,0.0,OFFICER-49,2024-12-23
DEC23123113316,2023-12-31,IMP-001,BROK-047,Land,JP,LCP,SUV,INV-42185,Standard Import,1,19059030,0,PROD-397,BrandX,M-25,2025,Cake,63.0,135.77,142.71,USD,154.43,9729.09,35.07,5415.86,341199.19,999,,102359.76,31049.13,0.0,5000.0,1,False,REF-51933,0.0,OFFICER-49,2024-12-19
DEC25103119434,2025-10-31,IMP-001,BROK-008,Sea,JP,SUV,SUV,INV-98185,Standard Import,1,19059030,0,PROD-845,BrandX,M-37,2021,Cake,40.0,321.23,349.89,USD,138.04,5521.6,32.88,4538.76,181550.21,0,,54465.06,16521.07,0.0,5000.0,0,False,REF-92248,0.0,OFFICER-15,2024-12-06
DEC24122084971,2024-12-20,IMP-006,BROK-006,Sea,CN,SUV,SUV,INV-61436,Standard Import,1,64039990,0,PROD-961,BrandX,M-95,2022,Footwear,22.0,218.55,234.78,USD,810.16,17823.52,31.98,25908.92,569996.17,0,,170998.85,51869.65,0.0,28050.0,0,False,REF-32313,0.0,OFFICER-46,2024-12-14
DEC23010870671,2023-01-08,IMP-006,BROK-023,Sea,CN,LCP,BKK,INV-49074,Standard Import,1,64039990,0,PROD-391,BrandX,M-90,2021,Footwear,20.0,150.08,159.69,USD,832.2,16644.0,35.07,29185.25,583705.08,0,,175111.52,53117.16,0.0,28050.0,1,True,REF-32158,139600.44,OFFICER-26,2024-12-26
DEC23112677275,2023-11-26,IMP-006,BROK-008,Sea,CN,SUV,LCP,INV-19531,Standard Import,1,64039990,0,PROD-705,BrandX,M-82,2023,Footwear,67.0,387.39,463.14,USD,825.59,55314.53,35.07,28953.44,1939880.57,0,,581964.17,176529.13,0.0,28050.0,0,False,REF-83410,0.0,OFFICER-18,2024-12-09
DEC25101168689,2025-10-11,IMP-005,BROK-033,Sea,CN,LCP,BKK,INV-31920,Standard Import,1,62044290,0,PROD-115,BrandX,M-57,2024,Women Dresses,10.0,79.17,91.72,USD,1198.36,11983.6,32.88,39402.08,394020.77,0,,118206.23,35855.89,0.0,44200.0,1,False,REF-70413,0.0,OFFICER-24,2024-12-27
DEC25060865782,2025-06-08,IMP-005,BROK-007,Sea,CN,BKK,LCP,INV-42321,Standard Import,1,62044290,0,PROD-304,BrandX,M-95,2024,Women Dresses,51.0,216.15,243.44,USD,1207.42,61578.42,32.88,39699.97,2024698.45,0,,607409.53,184247.56,0.0,44200.0,0,False,REF-81385,0.0,OFFICER-20,2024-12-10
DEC23100430536,2023-10-04,IMP-003,BROK-006,Air,DE,LCP,BKK,INV-95816,Standard Import,1,33030000,0,PROD-617,BrandX,M-13,2022,Perfumes,43.0,180.07,202.82,USD,2419.65,104044.95,35.07,84857.13,3648856.4,0,,1094656.92,332045.93,0.0,105400.0,1,False,REF-56771,0.0,OFFICER-13,2024-12-07
DEC25111691588,2025-11-16,IMP-006,BROK-049,Sea,CN,SUV,LCP,INV-40630,Standard Import,1,64039990,0,PROD-849,BrandX,M-25,2025,Footwear,79.0,463.6,536.38,USD,818.02,64623.58,32.88,26896.5,2124823.31,999,,637446.99,193358.92,0.0,28050.0,0,False,REF-33124,0.0,OFFICER-12,2024-12-27
DEC25070442217,2025-07-04,IMP-003,BROK-044,Air,DE,BKK,SUV,INV-77167,Standard Import,1,33030000,0,PROD-903,BrandX,M-21,2022,Perfumes,76.0,242.17,288.59,USD,3036.25,230755.0,32.88,99831.9,7587224.4,999,,2276167.32,690437.42,0.0,105400.0,1,False,REF-85259,0.0,OFFICER-39,2024-12-19
DEC24083159375,2024-08-31,IMP-005,BROK-024,Sea,CN,LCP,SUV,INV-86192,Standard Import,1,62044290,0,PROD-456,BrandX,M-52,2024,Women Dresses,17.0,52.57,57.87,USD,1301.25,22121.25,31.98,41613.97,707437.57,0,,212231.27,64376.82,0.0,44200.0,0,False,REF-29199,0.0,OFFICER-41,2024-12-29
DEC24071035640,2024-07-10,IMP-003,BROK-021,Air,DE,SUV,BKK,INV-23577,Standard Import,1,33030000,0,PROD-403,BrandX,M-69,2022,Perfumes,46.0,427.27,490.11,USD,2111.23,97116.58,31.98,67517.14,3105788.23,0,,931736.47,282626.73,0.0,105400.0,1,False,REF-32194,0.0,OFFICER-49,2024-12-13
DEC24092915867,2024-09-29,IMP-001,BROK-048,Air,JP,SUV,LCP,INV-12586,Standard Import,1,19059030,0,PROD-305,BrandX,M-57,2023,Cake,87.0,340.77,361.82,USD,140.68,12239.16,31.98,4498.95,391408.34,999,,117422.5,35618.16,0.0,5000.0,0,True,REF-94491,141717.88,OFFICER-20,2024-12-13
DEC23102199053,2023-10-21,IMP-008,BROK-008,Air,CN,SUV,SUV,INV-69789,Standard Import,1,87089360,0,PROD-929,BrandX,M-82,2024,Clutches,59.0,324.21,384.7,USD,3368.1,198717.9,35.07,118119.27,6969036.75,999,,2090711.02,634182.34,0.0,100000.0,1,False,REF-42268,0.0,OFFICER-31,2024-12-10
DEC23061273846,2023-06-12,IMP-006,BROK-006,Sea,DE,SUV,BKK,INV-83146,Standard Import,1,64039990,0,PROD-374,BrandX,M-48,2025,Footwear,33.0,305.95,343.61,USD,824.16,27197.28,35.07,28903.29,953808.61,999,,286142.58,86796.58,0.0,28050.0,0,True,REF-38278,219983.81,OFFICER-29,2024-12-17
DEC250114105196,2025-01-14,IMP-008,BROK-007,Sea,CN,BKK,BKK,INV-48622,Standard Import,1,87089360,0,PROD-750,BrandX,M-56,2022,Clutches,14.0,126.6,146.74,USD,3863.45,54088.3,32.88,127030.24,1778423.3,0,,533526.99,161836.52,0.0,100000.0,1,True,REF-93831,458304.56,OFFICER-43,2024-12-15
DEC25032040359,2025-03-20,IMP-003,BROK-042,Air,DE,SUV,BKK,INV-21396,Standard Import,1,33030000,0,PROD-423,BrandX,M-65,2021,Perfumes,61.0,62.45,66.9,USD,2481.03,151342.83,32.88,81576.27,4976152.25,0,,1492845.68,452829.86,0.0,105400.0,1,False,REF-79106,0.0,OFFICER-29,2024-12-29
DEC24020454656,2024-02-04,IMP-005,BROK-039,Sea,CN,SUV,LCP,INV-32179,Standard Import,1,62044290,0,PROD-310,BrandX,M-23,2025,Women Dresses,65.0,117.02,124.62,USD,1310.37,85174.05,31.98,41905.63,2723866.12,0,,817159.84,247871.82,0.0,44200.0,0,False,REF-91037,0.0,OFFICER-46,2024-12-17
DEC25112844860,2025-11-28,IMP-003,BROK-023,Air,US,LCP,SUV,INV-75028,Standard Import,1,33030000,0,PROD-285,BrandX,M-97,2023,Perfumes,81.0,152.53,169.47,USD,3159.88,255950.28,32.88,103896.85,8415645.21,999,,2524693.56,765823.71,0.0,105400.0,1,True,REF-78252,2954013.39,OFFICER-37,2024-12-27
DEC25050187678,2025-05-01,IMP-006,BROK-021,Sea,CN,LCP,BKK,INV-86012,Standard Import,1,64039990,0,PROD-992,BrandX,M-84,2021,Footwear,15.0,29.52,33.94,USD,829.89,12448.35,32.88,27286.78,409301.75,0,,122790.52,37246.46,0.0,28050.0,1,False,REF-64442,0.0,OFFICER-10,2024-12-09
DEC250514106856,2025-05-14,IMP-008,BROK-050,Sea,JP,SUV,BKK,INV-85848,Standard Import,1,87089360,0,PROD-478,BrandX,M-49,2021,Clutches,86.0,559.11,596.01,USD,3988.18,342983.48,32.88,131131.36,11277296.82,0,,3383189.05,1026234.01,0.0,100000.0,1,True,REF-23826,5243043.89,OFFICER-10,2024-12-18
DEC25063042128,2025-06-30,IMP-003,BROK-017,Air,DE,BKK,SUV,INV-64396,Standard Import,1,33030000,0,PROD-802,BrandX,M-95,2025,Perfumes,25.0,65.4,76.75,USD,3228.88,80722.0,32.88,106165.57,2654139.36,999,,796241.81,241526.68,0.0,105400.0,0,False,REF-11868,0.0,OFFICER-40,2024-12-28
DEC250912108492,2025-09-12,IMP-008,BROK-043,Land,DE,BKK,LCP,INV-34822,Standard Import,1,87089360,0,PROD-692,BrandX,M-60,2021,Clutches,32.0,77.79,83.88,USD,3840.09,122882.88,32.88,126262.16,4040389.09,0,,1212116.73,367675.41,0.0,100000.0,1,False,REF-51296,0.0,OFFICER-11,2024-12-20
DEC24031013998,2024-03-10,IMP-001,BROK-038,Sea,US,SUV,SUV,INV-40959,Standard Import,1,19059030,0,PROD-656,BrandX,M-81,2024,Cake,73.0,338.56,356.27,USD,144.15,10522.95,31.98,4609.92,336523.94,0,,100957.18,30623.68,0.0,5000.0,0,True,REF-86072,101054.92,OFFICER-30,2024-12-21
DEC23012125903,2023-01-21,IMP-003,BROK-042,Air,DE,SUV,SUV,INV-64798,Standard Import,1,33030000,0,PROD-260,BrandX,M-17,2021,Perfumes,49.0,214.56,234.7,USD,3211.35,157356.15,35.07,112622.04,5518480.18,0,,1655544.05,502181.7,0.0,105400.0,1,False,REF-29551,0.0,OFFICER-20,2024-12-10
DEC25101090833,2025-10-10,IMP-006,BROK-013,Sea,DE,BKK,BKK,INV-61908,Standard Import,1,64039990,0,PROD-578,BrandX,M-22,2022,Footwear,88.0,640.56,750.71,USD,840.79,73989.52,32.88,27645.18,2432775.42,999,,729832.63,221382.56,0.0,28050.0,1,False,REF-92857,0.0,OFFICER-42,2024-12-24
DEC240601102134,2024-06-01,IMP-008,BROK-047,Sea,JP,SUV,SUV,INV-78566,Standard Import,1,87089360,0,PROD-713,BrandX,M-22,2023,Clutches,56.0,276.69,306.07,USD,3778.02,211569.12,31.98,120821.08,6765980.46,0,,2029794.14,615704.22,0.0,100000.0,1,True,REF-29210,2950233.93,OFFICER-35,2024-12-30
DEC24013013584,2024-01-30,IMP-001,BROK-042,Sea,CN,LCP,SUV,INV-24303,Standard Import,1,19059030,0,PROD-805,BrandX,M-60,2021,Cake,70.0,76.55,82.24,USD,158.59,11101.3,31.98,5071.71,355019.57,999,,106505.87,32306.78,0.0,5000.0,1,False,REF-83619,0.0,OFFICER-45,2024-12-30
DEC25040917609,2025-04-09,IMP-001,BROK-030,Sea,JP,BKK,BKK,INV-46631,Standard Import,1,19059030,0,PROD-390,BrandX,M-63,2023,Cake,9.0,79.37,87.05,USD,125.45,1129.05,32.88,4124.8,37123.16,999,,11136.95,3378.21,0.0,5000.0,0,False,REF-31321,0.0,OFFICER-46,2024-12-03
DEC25042340962,2025-04-23,IMP-003,BROK-008,Sea,US,BKK,SUV,INV-70935,Standard Import,1,33030000,0,PROD-539,BrandX,M-39,2024,Perfumes,2.0,5.5,6.5,USD,2374.88,4749.76,32.88,78086.05,156172.11,0,,46851.63,14211.66,0.0,105400.0,1,False,REF-58522,0.0,OFFICER-32,2024-12-25
DEC25020363016,2025-02-03,IMP-005,BROK-050,Land,CN,BKK,SUV,INV-27228,Standard Import,1,62044290,0,PROD-117,BrandX,M-98,2021,Women Dresses,58.0,72.35,79.73,USD,1195.4,69333.2,32.88,39304.75,2279675.62,999,,683902.69,207450.48,0.0,44200.0,0,False,REF-44402,0.0,OFFICER-18,2024-12-15
DEC24060214765,2024-06-02,IMP-001,BROK-031,Sea,CN,LCP,SUV,INV-35194,Standard Import,1,19059030,0,PROD-679,BrandX,M-14,2025,Cake,55.0,452.38,540.04,USD,149.05,8197.75,31.98,4766.62,262164.04,999,,78649.21,23856.93,0.0,5000.0,1,False,REF-33516,0.0,OFFICER-43,2024-12-23
DEC25042817761,2025-04-28,IMP-001,BROK-003,Sea,JP,SUV,LCP,INV-79107,Standard Import,1,19059030,0,PROD-863,BrandX,M-11,2023,Cake,8.0,62.18,73.14,USD,149.51,1196.08,32.88,4915.89,39327.11,0,,11798.13,3578.77,0.0,5000.0,0,False,REF-33177,0.0,OFFICER-20,2024-12-14
DEC23020995526,2023-02-09,IMP-008,BROK-049,Sea,CN,SUV,LCP,INV-18633,Standard Import,1,87089360,0,PROD-791,BrandX,M-54,2022,Clutches,97.0,757.25,888.58,USD,4165.29,404033.13,35.07,146076.72,14169441.87,0,,4250832.56,1289419.21,0.0,100000.0,1,False,REF-50143,0.0,OFFICER-22,2024-12-23
DEC23102852302,2023-10-28,IMP-005,BROK-009,Sea,CN,SUV,LCP,INV-58423,Standard Import,1,62044290,0,PROD-378,BrandX,M-35,2021,Women Dresses,60.0,167.1,180.25,USD,1403.89,84233.4,35.07,49234.42,2954065.34,999,,886219.6,268819.95,0.0,44200.0,0,False,REF-74783,0.0,OFFICER-32,2024-12-30
DEC250512106834,2025-05-12,IMP-008,BROK-047,Sea,CN,LCP,LCP,INV-56459,Standard Import,1,87089360,0,PROD-174,BrandX,M-98,2022,Clutches,51.0,482.25,525.02,USD,3453.64,176135.64,32.88,113555.68,5791339.84,999,,1737401.95,527011.93,0.0,100000.0,1,False,REF-40268,0.0,OFFICER-39,2024-12-28
DEC25021186036,2025-02-11,IMP-006,BROK-026,Sea,US,BKK,SUV,INV-23697,Standard Import,1,64039990,0,PROD-508,BrandX,M-11,2021,Footwear,44.0,388.16,411.88,USD,853.41,37550.04,32.88,28060.12,1234645.32,999,,370393.6,112352.72,0.0,28050.0,1,False,REF-15181,0.0,OFFICER-10,2024-12-17
DEC24082159173,2024-08-21,IMP-005,BROK-046,Sea,CN,LCP,BKK,INV-15678,Standard Import,1,62044290,0,PROD-696,BrandX,M-13,2025,Women Dresses,72.0,412.86,485.49,USD,1357.86,97765.92,31.98,43424.36,3126554.12,999,,937966.24,284516.43,0.0,44200.0,1,False,REF-62525,0.0,OFFICER-35,2024-12-14
DEC25060588347,2025-06-05,IMP-006,BROK-045,Sea,CN,LCP,BKK,INV-91790,Standard Import,1,64039990,0,PROD-667,BrandX,M-12,2021,Footwear,72.0,521.62,605.1,USD,831.24,59849.28,32.88,27331.17,1967844.33,0,,590353.3,179073.83,0.0,28050.0,0,False,REF-48405,0.0,OFFICER-41,2024-12-23
DEC24092859986,2024-09-28,IMP-005,BROK-012,Sea,DE,LCP,LCP,INV-92019,Standard Import,1,62044290,0,PROD-425,BrandX,M-87,2022,Women Dresses,98.0,581.35,648.59,USD,1333.26,130659.48,31.98,42637.65,4178490.17,0,,1253547.05,380242.61,0.0,44200.0,0,False,REF-37396,0.0,OFFICER-25,2024-12-07
DEC23122377805,2023-12-23,IMP-006,BROK-031,Sea,US,LCP,BKK,INV-42837,Standard Import,1,64039990,0,PROD-488,BrandX,M-70,2021,Footwear,11.0,60.37,67.43,USD,826.33,9089.63,35.07,28979.39,318773.32,0,,95632.0,29008.37,0.0,28050.0,1,False,REF-40363,0.0,OFFICER-29,2024-12-21
DEC23081775165,2023-08-17,IMP-006,BROK-043,Sea,CN,SUV,BKK,INV-33562,Standard Import,1,64039990,0,PROD-129,BrandX,M-72,2023,Footwear,29.0,57.04,67.55,USD,815.26,23642.54,35.07,28591.17,829143.88,0,,248743.16,75452.09,0.0,28050.0,1,False,REF-71297,0.0,OFFICER-14,2024-12-16
DEC24090636782,2024-09-06,IMP-003,BROK-012,Sea,DE,SUV,SUV,INV-54038,Standard Import,1,33030000,0,PROD-716,BrandX,M-19,2024,Perfumes,74.0,688.03,775.15,USD,3026.68,223974.32,31.98,96793.23,7162698.75,999,,2148809.62,651805.59,0.0,105400.0,1,False,REF-62274,0.0,OFFICER-41,2024-12-23
DEC25030563688,2025-03-05,IMP-005,BROK-046,Sea,US,BKK,BKK,INV-38154,Standard Import,1,62044290,0,PROD-765,BrandX,M-93,2023,Women Dresses,22.0,119.4,133.45,USD,1195.04,26290.88,32.88,39292.92,864444.13,999,,259333.24,78664.42,0.0,44200.0,0,False,REF-57193,0.0,OFFICER-14,2024-12-31
DEC23032872280,2023-03-28,IMP-006,BROK-014,Sea,CN,BKK,BKK,INV-97699,Standard Import,1,64039990,0,PROD-815,BrandX,M-38,2023,Footwear,84.0,221.35,254.38,USD,827.65,69522.6,35.07,29025.69,2438157.58,0,,731447.27,221872.34,0.0,28050.0,0,True,REF-85659,649404.56,OFFICER-27,2024-12-29
DEC24012354392,2024-01-23,IMP-005,BROK-021,Sea,CN,LCP,SUV,INV-49780,Standard Import,1,62044290,0,PROD-110,BrandX,M-10,2024,Women Dresses,65.0,426.24,505.54,USD,1313.31,85365.15,31.98,41999.65,2729977.5,999,,818993.25,248427.95,0.0,44200.0,0,False,REF-38835,0.0,OFFICER-42,2024-12-13
DEC25041740857,2025-04-17,IMP-003,BROK-014,Sea,DE,LCP,BKK,INV-65626,Standard Import,1,33030000,0,PROD-866,BrandX,M-24,2023,Perfumes,65.0,370.25,406.36,USD,2077.71,135051.15,32.88,68315.1,4440481.81,999,,1332144.54,404083.84,0.0,105400.0,1,False,REF-89732,0.0,OFFICER-16,2024-12-25
DEC23053197075,2023-05-31,IMP-008,BROK-039,Sea,JP,BKK,BKK,INV-11036,Standard Import,1,87089360,0,PROD-437,BrandX,M-46,2023,Clutches,41.0,161.35,173.7,USD,3475.62,142500.42,35.07,121889.99,4997489.73,0,,1499246.92,454771.57,0.0,100000.0,1,False,REF-49800,0.0,OFFICER-36,2024-12-12
DEC23060273628,2023-06-02,IMP-006,BROK-024,Sea,CN,BKK,LCP,INV-35502,Standard Import,1,64039990,0,PROD-377,BrandX,M-16,2022,Footwear,48.0,114.17,123.27,USD,840.43,40340.64,35.07,29473.88,1414746.24,999,,424423.87,128741.91,0.0,28050.0,1,False,REF-82456,0.0,OFFICER-44,2024-12-21
DEC24082436524,2024-08-24,IMP-003,BROK-044,Air,US,LCP,SUV,INV-50174,Standard Import,1,33030000,0,PROD-350,BrandX,M-99,2023,Perfumes,19.0,125.44,132.44,USD,2039.31,38746.89,31.98,65217.13,1239125.54,0,,371737.66,112760.42,0.0,105400.0,1,False,REF-71545,0.0,OFFICER-11,2024-12-17
DEC23072050095,2023-07-20,IMP-005,BROK-008,Sea,CN,BKK,SUV,INV-58154,Standard Import,1,62044290,0,PROD-670,BrandX,M-68,2021,Women Dresses,35.0,174.63,184.38,USD,1413.3,49465.5,35.07,49564.43,1734755.08,0,,520426.52,157862.71,0.0,44200.0,0,False,REF-27557,0.0,OFFICER-32,2024-12-07
DEC241002103754,2024-10-02,IMP-008,BROK-022,Land,CN,BKK,SUV,INV-80631,Standard Import,1,87089360,0,PROD-815,BrandX,M-35,2021,Clutches,34.0,175.73,189.79,USD,3084.26,104864.84,31.98,98634.63,3353577.58,999,,1006073.27,305175.56,0.0,100000.0,0,False,REF-42074,0.0,OFFICER-47,2024-12-03
DEC23122877906,2023-12-28,IMP-006,BROK-008,Sea,JP,LCP,LCP,INV-66764,Standard Import,1,64039990,0,PROD-754,BrandX,M-98,2023,Footwear,85.0,329.22,359.93,USD,817.62,69497.7,35.07,28673.93,2437284.34,0,,731185.3,221792.87,0.0,28050.0,1,True,REF-42657,587837.59,OFFICER-32,2024-12-16
DEC25030940163,2025-03-09,IMP-003,BROK-043,Sea,US,SUV,BKK,INV-22787,Standard Import,1,33030000,0,PROD-539,BrandX,M-78,2024,Perfumes,38.0,82.55,95.59,USD,3091.44,117474.72,32.88,101646.55,3862568.79,999,,1158770.64,351493.76,0.0,105400.0,0,False,REF-99743,0.0,OFFICER-12,2024-12-13
DEC23082798279,2023-08-27,IMP-008,BROK-045,Sea,CN,LCP,BKK,INV-82900,Standard Import,1,87089360,0,PROD-805,BrandX,M-30,2022,Clutches,70.0,455.72,526.08,USD,2998.86,209920.2,35.07,105170.02,7361901.41,999,,2208570.42,669933.03,0.0,100000.0,1,False,REF-85132,0.0,OFFICER-35,2024-12-16
DEC23110452469,2023-11-04,IMP-005,BROK-046,Sea,CN,SUV,SUV,INV-42822,Standard Import,1,62044290,0,PROD-274,BrandX,M-11,2025,Women Dresses,41.0,401.64,448.31,USD,1400.64,57426.24,35.07,49120.44,2013938.24,999,,604181.47,183268.38,0.0,44200.0,0,False,REF-80270,0.0,OFFICER-22,2024-12-06
DEC23080975004,2023-08-09,IMP-006,BROK-001,Sea,CN,BKK,BKK,INV-89082,Standard Import,1,64039990,0,PROD-376,BrandX,M-97,2023,Footwear,69.0,253.47,290.89,USD,834.85,57604.65,35.07,29278.19,2020195.08,0,,606058.52,183837.75,0.0,28050.0,0,True,REF-19683,880275.4,OFFICER-23,2024-12-24
DEC25070866472,2025-07-08,IMP-005,BROK-047,Sea,DE,SUV,BKK,INV-61367,Standard Import,1,62044290,0,PROD-333,BrandX,M-49,2021,Women Dresses,89.0,287.0,325.27,USD,1210.19,107706.91,32.88,39791.05,3541403.2,0,,1062420.96,322267.69,0.0,44200.0,0,False,REF-58809,0.0,OFFICER-35,2024-12-27
DEC24082282627,2024-08-22,IMP-006,BROK-017,Sea,CN,SUV,SUV,INV-72815,Standard Import,1,64039990,0,PROD-878,BrandX,M-32,2023,Footwear,19.0,148.37,163.33,USD,829.31,15756.89,31.98,26521.33,503905.34,999,,151171.6,45855.39,0.0,28050.0,1,True,REF-26340,137057.32,OFFICER-22,2024-12-09
DEC250622107396,2025-06-22,IMP-008,BROK-035,Sea,CN,SUV,BKK,INV-10030,Standard Import,1,87089360,0,PROD-229,BrandX,M-22,2024,Clutches,79.0,737.21,869.15,USD,4122.38,325668.02,32.88,135543.85,10707964.5,999,,3212389.35,974424.77,0.0,100000.0,1,False,REF-25347,0.0,OFFICER-11,2024-12-31
